,season,city,team1,team2,venue
534,2015,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla
535,2015,Ahmedabad,Rajasthan Royals,Kings XI Punjab,"Sardar Patel Stadium, Motera"
537,2015,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
538,2015,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla
539,2015,Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera"
540,2015,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium
541,2015,Chennai,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk"
542,2015,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla
543,2015,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
544,2015,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens
545,2015,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium
546,2015,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
547,2015,Delhi,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla
548,2015,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium
549,2015,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium
550,2015,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
551,2015,Chandigarh,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
552,2015,Mumbai,Rajasthan Royals,Delhi Daredevils,Brabourne Stadium
553,2015,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
554,2015,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens
555,2015,Mumbai,Delhi Daredevils,Mumbai Indians,Wankhede Stadium
556,2015,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium
557,2015,Mumbai,Sunrisers Hyderabad,Rajasthan Royals,Brabourne Stadium
558,2015,Chennai,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
559,2015,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens
560,2015,Raipur,Sunrisers Hyderabad,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
561,2015,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
562,2015,Chennai,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk"
563,2015,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
564,2015,Raipur,Chennai Super Kings,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
565,2015,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
566,2015,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium
568,2015,Chandigarh,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
569,2015,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Brabourne Stadium
570,2015,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium
571,2015,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
572,2015,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium
573,2015,Pune,Royal Challengers Bangalore,Rajasthan Royals,Maharashtra Cricket Association Stadium
574,2015,Ranchi,Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex
575,2015,Kolkata,Mumbai Indians,Chennai Super Kings,Eden Gardens
576,2016,Mumbai,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium
577,2016,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens
578,2016,Chandigarh,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali"
579,2016,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium
580,2016,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens
581,2016,Rajkot,Rising Pune Supergiants,Gujarat Lions,Saurashtra Cricket Association Stadium
582,2016,Delhi,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla
583,2016,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
584,2016,Mumbai,Mumbai Indians,Gujarat Lions,Wankhede Stadium
585,2016,Chandigarh,Rising Pune Supergiants,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
586,2016,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium
587,2016,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
588,2016,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
589,2016,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
590,2016,Rajkot,Gujarat Lions,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium
591,2016,Pune,Royal Challengers Bangalore,Rising Pune Supergiants,Maharashtra Cricket Association Stadium
592,2016,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla
593,2016,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
594,2016,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Saurashtra Cricket Association Stadium
595,2016,Pune,Rising Pune Supergiants,Kolkata Knight Riders,Maharashtra Cricket Association Stadium
596,2016,Chandigarh,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
598,2016,Delhi,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla
599,2016,Mumbai,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium
600,2016,Pune,Rising Pune Supergiants,Gujarat Lions,Maharashtra Cricket Association Stadium
601,2016,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla
602,2016,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
603,2016,Rajkot,Kings XI Punjab,Gujarat Lions,Saurashtra Cricket Association Stadium
604,2016,Pune,Rising Pune Supergiants,Mumbai Indians,Maharashtra Cricket Association Stadium
605,2016,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium
606,2016,Rajkot,Gujarat Lions,Delhi Daredevils,Saurashtra Cricket Association Stadium
607,2016,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens
608,2016,Delhi,Delhi Daredevils,Rising Pune Supergiants,Feroz Shah Kotla
609,2016,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
610,2016,Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,M Chinnaswamy Stadium
611,2016,Chandigarh,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali"
612,2016,Visakhapatnam,Sunrisers Hyderabad,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
613,2016,Kolkata,Kolkata Knight Riders,Gujarat Lions,Eden Gardens
614,2016,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
615,2016,Visakhapatnam,Sunrisers Hyderabad,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
616,2016,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
617,2016,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
618,2016,Visakhapatnam,Mumbai Indians,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
619,2016,Bangalore,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium
621,2016,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali"
622,2016,Visakhapatnam,Mumbai Indians,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
623,2016,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens
626,2016,Kanpur,Kolkata Knight Riders,Gujarat Lions,Green Park
627,2016,Raipur,Sunrisers Hyderabad,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
628,2016,Visakhapatnam,Kings XI Punjab,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
629,2016,Kanpur,Mumbai Indians,Gujarat Lions,Green Park
630,2016,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens
631,2016,Raipur,Delhi Daredevils,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium
632,2016,Bangalore,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium
633,2016,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla
634,2016,Delhi,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla
635,2016,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium
